02/01/2011,"President Obama signs the James Zadroga 9/11 Health and Compensation Act of 2010, H.R. 847, into law at his vacation rental house, Plantation Estate, in Hawaii.[1]"
03/01/2011,The 112th United States Congress convenes with the Republican Party is controlling the House of Representatives while the Democratic Party is retaining their majority in the Senate.[citation needed]
03/01/2011,John Boehner is elected as Speaker of the United States House of Representatives.[citation needed]
04/01/2011,President Obama signs 35 acts into law including the Government Performance and Results Modernization Act of 2010 and the FDA Food Safety Modernization Act.[2]
10/01/2011,President Obama leads a national moment of silence for the victims of the 2011 Tucson shooting.[3] French President Nicolas Sarkozy meets with President Obama at the White House in anticipation of France's hosting of the G8 and G20 summits.[4]
12/01/2011,"President Obama has a morning meeting with Prime Minister Saad Hariri of Lebanon.[5] Afterward, the President and First Lady Michelle Obama travel to Tucson, Arizona, where they visit Representative Gabby Giffords and other survivors of the recent shooting; later, the President delivers remarks at a memorial service for the six victims of the shooting.[6]"
19/01/2011,President and Mrs. Obama welcome Chinese President Hu Jintao to the White House for a state visit.[7]
21/01/2011,President Obama announces that Paul Volcker will be stepping down as an adviser to the Economic Recovery Advisory Board.[8]
25/01/2011,President Obama delivers his annual State of the Union Address before a joint session of Congress.[9]
01/02/2011,President Obama delivers remarks on the protests in Egypt.[10]
02/02/2011,"President Obama signs the instrument of ratification for New START, a nuclear arms reduction treaty between the United States and the Russian Federation.[11]"
03/02/2011,"President Obama speaks at the National Prayer Breakfast.[12] The President visits Penn State University to promote his ""Better Buildings"" energy conservation initiative.[13]"
07/02/2011,The President speaks at a meeting of the United States Chamber of Commerce at the organization's headquarters near the White House.[14]
10/02/2011,President Obama travels to Northern Michigan University to promote the school's WiMAX system.[15]
11/02/2011,President Obama speaks about the revolution in Egypt following the resignation of Egyptian President Hosni Mubarak.[16] Jay Carney replaces Robert Gibbs as White House Press Secretary.[17]
14/02/2011,"The President unveils his spending request for the 2012 federal budget.[18] President Obama visits Parkville Middle School and Center of Technology in Baltimore County, Maryland, to highlight educational priorities in his proposed 2012 budget.[19]"
15/02/2011,President Obama presents the Presidential Medal of Freedom to fifteen people in a ceremony at the White House.[20]
17/02/2011,"President Obama and the CEOs of major technology companies—including Carol Bartz, John Chambers, Dick Costolo, Larry Ellison, Reed Hastings, Steve Jobs, Art Levinson, Eric Schmidt, Steve Westly, Mark Zuckerberg, and Stanford University president John L. Hennessy—meet at the home of John Doerr to discuss the President's innovation initiatives.[21][22]"
22/02/2011,The President speaks at the Winning the Future Forum on Small Business at Cleveland State University.[23][24]
23/02/2011,President Obama visits with wounded service members and their families at the National Naval Medical Center and awards six Purple Heart medals.[25] President Obama delivers a televised statement on the situation in Libya.[26]
27/02/2011,The 2011 Governors' Dinner is hosted by President Obama in the State Dining Room of the White House.[27] The President makes an appearance in a pre-recorded clip shown during the 83rd Academy Awards ceremony.[27]
01/03/2011,President Obama meets with the Conference of Presidents of Major American Jewish Organizations in the State Dining Room of the White House.[28]
02/03/2011,President Obama presents the National Medal of Arts and the National Humanities Medal to awardees in a ceremony at the White House.[29] The President signs a short-term budget extension bill to fund the federal government through March 18.[30]
03/03/2011,President Obama holds meetings and a press conference with President Felipe Calderón of Mexico.[31]
07/03/2011,President Obama holds meetings and a press conference with Prime Minister Julia Gillard of Australia.[32]
08/03/2011,The President ends his two-year ban on military trials for detainees held at Guantanamo Bay with Executive Order 13567.[33]
10/03/2011,The President and First Lady host the first Conference on Bullying Prevention at the White House.[34]
18/03/2011,"President Obama orders military air strikes against Muammar Gaddafi's forces in Libya in his address to the nation from the White House. Shortly afterward, the President travels to Rio de Janeiro, Brazil to meet with President Dilma Rousseff.[35][36]"
21/03/2011,"The First Family arrives in Santiago, Chile.[37]"
26/03/2011,"President Obama addressed the nation from the White House, providing an update on the current state of the military intervention in Libya.[38]"
28/03/2011,President Obama delivers a speech at the National Defense University explaining his rationale for ordering United States military intervention in Libya.[39]
30/03/2011,President Obama discusses domestic energy policy and hybrid vehicles at Georgetown University.[40]
04/04/2011,President Obama announces his bid for re-election.[41]
05/04/2011,"The President meets with congressional leaders to discuss the ongoing federal budget debate; later in the day, President Obama meets with Israeli President Shimon Peres.[42]"
06/04/2011,"After trips to Philadelphia and New York City earlier in the day, the President calls an evening meeting with Speaker of the House John Boehner and Senate Majority Leader Harry Reid to discuss the ongoing federal budget debate.[43][44]"
27/04/2011,"The White House releases a copy of President Obama's ""long-form"" birth certificate.[45]"
29/04/2011,The President meets with participants of the 1968 Memphis sanitation strike at the White House; travels to Alabama to view damage from the recent tornado outbreak and meet with Governor Robert J. Bentley; and delivers the commencement address at Miami Dade College.[46]
30/04/2011,President Obama attends the annual White House Correspondents' Association Dinner.[47]
02/05/2011,President Obama confirms that Al Qaeda leader Osama bin Laden has been killed.[48]
05/05/2011,"The President lays a wreath at ""Ground Zero"" in New York City after visiting with police and firefighters there.[49]"
06/05/2011,President Obama visits Fort Campbell where he meets with members of SEAL Team Six who participated in the raid on Osama bin Laden's compound; the President also awards Presidential Unit Citations to the military units involved in the operation.[50]
10/05/2011,"President Obama delivers a speech in El Paso, Texas, on immigration reform.[51]"
23/05/2011,President Obama begins a state visit to Ireland.[52]
24/05/2011,President Obama arrives in United Kingdom for a state visit.[53]
26/05/2011,"President Obama attends the G8 summit in Deauville, France.[54]"
29/05/2011,"President Obama visits Joplin, Missouri, in response to the city's recent tornado destruction.[55]"
03/06/2011,"President Obama travels to Toledo, Ohio, and delivers remarks to workers at the Chrysler Group Toledo Supplier Park.[56]"
07/06/2011,The President welcomes German Chancellor Angela Merkel to the White House for a state visit.[57]
14/06/2011,"President Obama visits Puerto Rico, the first such trip by a sitting U.S. President since John F. Kennedy.[58]"
18/06/2011,President Obama teams up with Speaker of the House John Boehner in a round of golf against Vice President Biden and Ohio Governor John Kasich.[59]
22/06/2011,"President Obama in his address to the nation from the White House announces his plan to withdraw 33,000 U.S. troops from Afghanistan by the summer of 2012.[60]"
10/07/2011,The President holds a series of daily meetings with Congressional leaders at the White House in an attempt to reach an agreement on raising the debt ceiling.[61]
24/07/2011,President Obama calls House Minority Leader Nancy Pelosi and Senate Majority Leader Harry Reid to the White House for an update on negotiations concerning the ongoing debt ceiling impasse.[62]
25/07/2011,The President delivers a prime time television address about the debt ceiling debate.[63]
02/08/2011,"The President signs into law the Budget Control Act of 2011, (Pub.L. 112–25 (text) (PDF), S. 365, 125 Stat. 240, enacted August 2, 2011), to raise the federal debt ceiling, avoid default, and create a bipartisan ""super committee"" to deliberate on debt reductions.[64]"
09/08/2011,President Obama—accompanied by high-ranking military officials and Secretary of Defense Leon Panetta—travels to Dover Air Force Base to pay his respects to troops killed when their helicopter was downed in Afghanistan.[65]
15/08/2011,"President Obama embarks on a three-day, five-city bus tour to host town hall meetings to discuss the economy and jobs. On August 15, the President stopped in Cannon Falls, Minnesota, and Decorah, Iowa. The President is scheduled to make stops in Peosta, Iowa, on August 16 and in Atkinson, Illinois, and Alpha, Illinois, on August 17.[66]"
18/08/2011,President Obama calls for Syrian President Bashar al-Assad to step down and issues an executive order prohibiting certain financial transactions with Syria.[67]
26/08/2011,"President Obama returns a day early to Washington, D.C., from his vacation on Martha's Vineyard ahead of Hurricane Irene.[68] In response to the hurricane, the President declares a state of emergency for Connecticut, Massachusetts, New Hampshire, New Jersey, New York, and Virginia.[69]"
08/09/2011,"In a speech delivered to a joint session of Congress, President Obama presents the American Jobs Act, his plan to create jobs and revive the economy.[70]"
12/09/2011,The President delivers a speech in the White House Rose Garden to promote his American Jobs Act.[71]
16/09/2011,"President Obama signs the America Invents Act, (H.R. 1249), a major overhaul of the U.S. patent system, into law.[72]"
19/09/2011,The President releases his debt reduction plan and the Buffett Rule.[73]
06/10/2011,"The President, speaking at a press conference from the White House, urges the Senate to pass his American Jobs Act.[74]"
11/10/2011,The President asks Harry Reid to hold votes on separate parts of his American Jobs Act after it fails to secure a filibuster-proof supermajority in the Senate.[75]
13/10/2011,The President and First Lady host their fifth state dinner at the White House to honor South Korean President Lee Myung-bak.[76]
14/10/2011,"In a letter to Congress, President Obama announces that he has authorized the deployment of ""about 100"" U.S. troops to Africa ""to provide assistance to regional forces that are working toward the removal of Joseph Kony"" (leader of the Lord's Resistance Army).[77]"
16/10/2011,"The President speaks at the dedication ceremony for the Martin Luther King, Jr. Memorial in Washington, D.C.[78]"
17/10/2011,President Obama makes a three-day bus tour of North Carolina and Virginia to promote his jobs plan.[79]
20/10/2011,"Speaking from the White House Rose Garden, the President delivers remarks on the death of Muammar Gaddafi.[80]"
21/10/2011,The President announces that by the end of the year nearly all U.S. troops in Iraq will be withdrawn and the Iraq War will be over.[81]
03/11/2011,"President Obama attends the G-20 summit in Cannes, France.[82]"
11/11/2011,"The President places a wreath on the Tomb of the Unknowns and speaks at Arlington National Cemetery in honor of Veterans Day.[83] Later in the day, the President and First Lady attend the first annual Carrier Classic aboard the USS Carl Vinson in San Diego.[84]"
12/11/2011,"The President attends the APEC economic summit in Honolulu (November 12–15) before traveling to Australia and Bali, Indonesia.[85]"
18/11/2011,"While visiting Bali, Indonesia, President Obama announces Hillary Clinton's plan to visit Burma, the first by a Secretary of State in more than 50 years.[86]"
23/11/2011,"President Obama officially pardons two turkeys, ""Liberty"" and ""Peace"", during the National Thanksgiving Turkey Presentation.[87]"
28/11/2011,President Obama hosts a White House summit for leaders of the European Union to discuss the European sovereign debt crisis.[88]
01/12/2011,The First Family participates in the National Christmas Tree lighting ceremony.[89]
04/12/2011,President Obama offers his condolences to Pakistani President Asif Ali Zardari for the deaths of Pakistani soldiers in a recent NATO attack.[90] The President and First Lady attend the annual Kennedy Center Honors.[91]
05/12/2011,President Obama meets at the White House with college presidents on college affordability.
07/12/2011,The President holds a bilateral meeting with Prime Minister Stephen Harper of Canada.
